time,_dt,ave_temp_interior,average_burnup,average_fission_rate,avg_clad_temp,avg_density,avg_fast_fluence,avg_gap,clad_inner_vol,creep_timestep,fis_gas_generated,fis_gas_percent,fis_gas_released,flux_from_clad,flux_from_fuel,fuel_elongation,gas_volume,initial_moles,max_clad_temp,max_fuel_temp,min_clad_temp,min_fuel_temp,num_lin_it,num_nonlin_it,pellet_volume,plenum_pressure,plenum_temp,rod_input_power,rod_total_power,tot_lin_it,tot_nonlin_it
-100,0,300,0,0,300,0,0,0,0,0,0,0,0,0,0,0,1.7723738083499e-05,0.018688055983708,300,300,300,300,0,0,0,2630000,300,0,0,0,0
0,100,558.38742001547,0,0,560.97248969896,10361.816070208,0,-7.159148452487e-05,0.00021097340637594,7419.0678534159,0,0,0,1475.3349731478,-1464.5903869209,0.0092315894483911,1.6632855964408e-05,0.018688055983708,561.96233190011,555.91866755259,560.79706692504,550.39569919814,24,7,-0.00019434055041153,2802491.1211489,560.86056365478,0,0,24,7
200,200,562.43049632163,1.4514025131861e-10,3.3798417011014e+16,562.11634900337,10358.811263168,2.1994515394472e+17,-7.2177905636041e-05,0.00021108264212406,28983.264445049,3.2659454634246e-10,0,0,-179.95509853533,178.67478376652,0.0095861355108828,1.6685718999837e-05,0.018688055983708,562.16493411092,563.59347129089,561.95099017046,562.45017497236,14,4,-0.00019439692312422,5222756.7127541,562.17031117666,208.97511333333,208.60482419084,38,11
600,400,563.58417021959,1.3062622622894e-09,1.0139525108217e+17,562.4975253638,10357.956529227,1.9795063855025e+18,-7.2076613357871e-05,0.00021108416677688,35872.226950609,2.9393509180316e-09,0,0,-623.90959258454,619.52632706304,0.0096870104254175,1.6671202041401e-05,0.018688055983708,562.6524573204,567.58717886422,561.95385360533,563.79548776089,8,4,-0.00019441296473548,5239511.631081,562.66439857976,626.92534,625.81447287576,46,15
1400,800,565.76139965376,7.1118723296616e-09,2.3658891987955e+17,563.230045961,10356.345470119,1.0777312543291e+19,-7.187904738863e-05,0.00021108632029332,41777.288406602,1.6003132804645e-08,0,0,-1461.1613933122,1451.0586784,0.0098771749338949,1.6643111870054e-05,0.018688055983708,563.59083665733,575.16727882211,561.95902623961,566.25911190145,9,4,-0.00019444320842327,5252967.5968329,563.61454195951,1462.8257933333,1460.2337742887,55,19
3000,1600,570.0660219361,3.2656556884673e-08,5.0697626376291e+17,564.6925453758,10353.137199653,4.9487659637562e+19,-7.1486008529943e-05,0.00021109066782212,44982.493831838,7.3483773687589e-08,0,0,-3135.0448186167,3113.4233238319,0.010255982817644,1.6587203164484e-05,0.018688055983708,565.46273462693,590.36840872779,561.96937038386,571.13964664888,10,5,-0.00019450346465764,5279573.5346216,565.49454379182,3134.6267,3129.0724159279,65,24
6200,3200,578.4881171783,1.3947978785255e-07,1.0477510060308e+18,567.6084130543,10346.769811885,2.1136729294088e+20,-7.0706041067723e-05,0.00021109938184383,45216.717562591,3.1385737329093e-07,0,0,-6482.2493891905,6436.8624054086,0.0110082390649,1.6476213993289e-05,0.018688055983708,569.18816046898,620.96342594001,561.99005510798,580.72468862179,12,6,-0.00019462316785054,5332867.7326209,569.17719891473,6478.2285133333,6466.750035589,77,30
12600,6400,594.63353060121,5.7606176692767e-07,2.1293009433375e+18,573.40308662599,10334.20610592,8.729623160066e+20,-6.9165314209243e-05,0.00021111668867371,43795.468285684,1.2962540007043e-06,0,0,-13173.815456117,13078.886273633,0.012494247002809,1.6256884005414e-05,0.018688055983708,576.56793622988,683.02131145714,562.03142934881,599.22598459138,12,6,-0.0001948598046683,5440013.8366803,576.25090532938,13165.43214,13142.108069427,89,36
25400,12800,622.19224179218,2.3409689319341e-06,4.2924045069382e+18,584.84100746666,10287.210261453,3.5474953879744e+21,-6.1619526461237e-05,0.00021115751064046,39852.489903655,5.2676475297572e-06,0,0,-26545.100657263,26343.385974105,0.015223642846425,1.5407328069882e-05,0.018688055983708,591.04675277426,804.33034213528,562.11418866217,631.39535998838,14,4,-0.00019575018257058,5811310.865496,588.84704056108,26539.839393333,26492.846905642,103,40
51000,25600,667.93808423792,9.4377744816926e-06,8.6186414058545e+18,607.15836660613,10219.503207755,1.4301933635255e+22,-5.1403021842717e-05,0.00021122963733094,26534.928069073,2.1236877071162e-05,0,0,-53388.085275155,52782.487987442,0.020371541525013,1.4181840042601e-05,0.018688055983708,617.49803266987,1058.7249457022,562.27975431979,685.71602841146,15,5,-0.00019704779728834,6451485.5867969,608.99790671719,53288.6539,53194.508329972,118,45
77534.928069073,26534.928069073,703.2748739397,2.1813519949528e-05,1.3102964944328e+19,629.25347654185,10153.636813865,3.305591498585e+22,-4.1261168199371e-05,0.00021130355758602,15797.13038815,4.9084775500418e-05,0,0,-81082.52307489,80051.332331361,0.025199326468955,1.2976140091546e-05,0.018688055983708,644.06542951716,1334.7101930404,562.45147031925,728.93706894382,14,5,-0.00019832741749447,7292225.5259348,623.84388793746,81014.351902632,80871.885144785,132,50
86400,8865.0719309273,712.31566738102,2.7086892016138e-05,1.4601172652791e+19,635.87646338543,10132.636503039,4.104704440978e+22,-3.802017732169e-05,0.00021133181796313,15612.340872501,6.095091561071e-05,0,0,-90320.78774466,89129.540589318,0.026694097743625,1.2592720484643e-05,0.018688055983708,652.5271903468,1429.1910888153,562.5088847415,740.8758362034,16,4,-0.00019873909747849,7697437.6215147,627.67589470062,90277.24896,90118.867200886,148,54
102012.3408725,15612.340872501,712.15918949651,3.6876155793577e-05,1.4601358174314e+19,635.88250146423,10132.906255808,5.5881293096636e+22,-3.790747569492e-05,0.00021132071863995,20803.800641164,8.2978713780917e-05,0,0,-90332.503530807,89135.699437841,0.026609986238071,1.2586933550663e-05,0.018688055983708,652.53128455781,1428.6310062358,562.50903111697,740.81812299766,12,4,-0.00019873378508929,7748280.3868009,627.60290982837,90277.24896,90120.012245184,160,58
122816.14151366,20803.800641164,711.97951662833,4.9920766444001e-05,1.4601605122155e+19,635.88841527288,10133.34344388,7.5648202961974e+22,-3.7778321414173e-05,0.00021130589867603,26921.354938257,0.00011233169242663,0,0,-90343.344433737,89139.71189094,0.02650165350465,1.2580716383379e-05,0.018688055983708,652.53141458592,1427.9870555989,562.50919392339,740.74979650643,12,4,-0.00019872518229265,7751208.0503091,627.51951138325,90277.24896,90121.53641452,172,62
149737.49645192,26921.354938257,711.81035863724,6.6801595411078e-05,1.4601924235525e+19,635.89565877952,10133.956956561,1.0122764905543e+23,-3.765431469999e-05,0.00021128955857893,33819.801838821,0.00015031692828161,0,0,-90355.710722883,89144.559368889,0.026369080775528,1.2576442992296e-05,0.018688055983708,652.53098885699,1427.4281597204,562.50940653932,740.70077414214,12,4,-0.00019871311558664,7752811.4966181,627.44020974326,90277.24896,90123.505991629,184,66
183557.29829074,33819.801838821,711.65966454007,8.8008564859748e-05,1.4602324391213e+19,635.90434025279,10134.766848275,1.3336150867555e+23,-3.7540688653839e-05,0.00021127190242072,41452.365567792,0.00019803684404214,0,0,-90369.605049633,89150.248283763,0.026210904862742,1.2574709474051e-05,0.018688055983708,652.52994147218,1426.9895504816,562.50967579524,740.67890108402,12,4,-0.00019869719294667,7752900.3974178,627.36847495659,90277.24896,90125.975764309,196,70
225009.66385853,41452.365567792,711.53318200493,0.00011400238438249,1.4602813742928e+19,635.91454890096,10135.786533732,1.7274717463191e+23,-3.7441226320774e-05,0.00021125309521446,49741.512583504,0.0002565281282835,0,0,-90385.014422695,89156.746033038,0.02602625966889,1.2575941680212e-05,0.018688055983708,652.52800259993,1426.6971259501,562.51000806762,740.69075460043,12,4,-0.00019867715353425,7751254.462084,627.30680703959,90277.24896,90128.996057494,208,74
274751.17644204,49741.512583504,711.43475999731,0.00014519528430237,1.4603399328865e+19,635.92635951177,10137.02243617,2.2000832356163e+23,-3.7358465558433e-05,0.00021123328095193,58599.762604855,0.00032671838154463,0,0,-90401.919139897,89163.978715319,0.025814932931406,1.2580406405506e-05,0.018688055983708,652.52519802061,1426.567617724,562.51040903062,740.74172565762,12,4,-0.00019865287454643,7747741.9312125,627.25688225115,90277.24896,90132.610311125,220,78
333350.93904689,58599.762604855,711.36654749031,0.00018194479430019,1.4604086933194e+19,635.93983136988,10138.474554577,2.7568545914294e+23,-3.7293831478286e-05,0.00021121258685517,67937.436390767,0.00040941211699711,0,0,-90420.291600762,89171.834677899,0.025577350564715,1.2588226903051e-05,0.018688055983708,652.52139181763,1426.6096871776,562.51088361217,740.83603875508,12,4,-0.00019862435995212,7742312.3805507,627.21964447877,90277.24896,90136.854225274,232,82
401288.37543766,67937.436390767,711.32891069977,0.00022455237570994,1.4604881047656e+19,635.95500406858,10140.135842669,3.4023381823479e+23,-3.7247600617805e-05,0.00021119112527207,77670.694317533,0.00050528768283665,0,0,-90440.091877312,89180.156041557,0.025314686902227,1.2599372662079e-05,0.018688055983708,652.51646976674,1426.8258763435,562.51143590785,740.97680067027,12,4,-0.00019859175260999,7735004.0894914,627.19528267018,90277.24896,90141.755523097,244,86
478959.06975519,77670.694317533,711.3206055372,0.00027326709015873,1.4605784936567e+19,635.97189874011,10141.992846072,4.1402891612443e+23,-3.7219013671534e-05,0.00021116899525034,87728.633435705,0.00061490551745565,0,0,-90461.265551888,89188.743052025,0.025028809968987,1.2613673801967e-05,0.018688055983708,652.5103382579,1427.2135500205,562.51206931417,741.16605463863,12,4,-0.00019855532144838,7725934.1968543,627.1833112183,90277.24896,90147.33435205,256,90
566687.7031909,87728.633435705,711.33889751537,0.00032829371549255,1.4606800792336e+19,635.99051112268,10144.026189567,4.9737883584685e+23,-3.7206359110505e-05,0.00021114628388461,98058.45747198,0.00073872641189663,0,0,-90483.717527839,89197.355982228,0.02472223740145,1.263083232525e-05,0.018688055983708,652.50292703439,1427.748567668,562.51278661441,741.40469913719,12,4,-0.00019851545155936,7715291.5313647,627.1826194039,90277.24896,90153.604243746,268,94
664746.16066288,98058.45747198,711.3798877031,0.00038980410261522,1.4607929955811e+19,636.01082973981,10146.211940909,5.9054142990739e+23,-3.7207167735557e-05,0.00021112306680276,108628.42794104,0.00087713706500745,0,0,-90507.359290056,89205.725448557,0.024397982619218,1.2650449798406e-05,0.018688055983708,652.49413518056,1428.4092399472,562.51359038192,741.69117698979,12,4,-0.00019847261700435,7703318.6750846,627.19160902021,90277.24896,90160.573473931,280,98
773374.58860392,108628.42794104,711.43883002981,0.00045795038413454,1.4609173171845e+19,636.03283742507,10148.523019581,6.9374432535344e+23,-3.7218410155682e-05,0.00021109940855593,119427.94322366,0.0010304798055328,0,0,-90532.100542692,89213.563111953,0.024059391040764,1.2672055755399e-05,0.018688055983708,652.48388919507,1429.171543973,562.51448243649,742.02598582364,12,4,-0.00019842735280054,7690294.6807423,627.20831960472,90277.24896,90168.246639871,292,102
892802.53182758,119427.94322366,711.51030713813,0.000532878235754,1.4610530843323e+19,636.0565054714,10150.930051738,8.0720500267748e+23,-3.7236622445475e-05,0.00021107536343838,130467.30753995,0.0011990824328932,0,0,-90557.834727148,89220.566190571,0.023710045284806,1.2695125538223e-05,0.018688055983708,652.47213301012,1430.0088214407,562.51546475276,742.40791724533,13,4,-0.00019838023790015,7676524.2797581,627.230495446,90277.24896,90176.626228176,305,106
1023269.8393675,130467.30753995,711.5884335933,0.00061473999796909,1.4612003277169e+19,636.08183716947,10153.401988814,9.3115065317645e+23,-3.7257996349629e-05,0.00021105097628433,141772.65952824,0.0013832877436222,0,0,-90584.515499819,89226.419452138,0.023353694905198,1.2719093315693e-05,0.018688055983708,652.45871667315,1430.8934843836,562.51653929108,742.81270291571,12,4,-0.00019833188296864,7662329.5898516,627.25565931389,90277.24896,90185.714133198,317,110
1165042.4988958,141772.65952824,711.66692312257,0.00070370462253876,1.461359086556e+19,636.10879180809,10155.906953746,1.0658332157254e+24,-3.7278507212817e-05,0.00021102628332752,153387.81422899,0.0015834759129129,0,0,-90612.010725005,89230.801370313,0.022994161047138,1.2743369693359e-05,0.018688055983708,652.44360307509,1431.7942188301,562.51770820003,743.11955251181,12,4,-0.00019828291363416,7648039.5160936,627.28117941015,90277.24896,90195.512775456,329,114
1318430.3131248,153387.81422899,711.73952964296,0.00079996878232314,1.4615294279925e+19,636.13736850395,10158.413564337,1.2115461604424e+24,-3.7294098827995e-05,0.00021100131266785,165365.46675642,0.0018000894939711,0,0,-90640.256395628,89233.394056843,0.022635182059228,1.2767368256156e-05,0.018688055983708,652.42668247932,1432.6818595537,562.51897378421,743.46301999697,12,4,-0.0001982339444117,7633974.2295888,627.30439601637,90277.24896,90206.026299035,341,118
1483795.7798812,165365.46675642,711.80003485054,0.00090376246948086,1.4617114557826e+19,636.16758040641,10160.891081913,1.3686329126068e+24,-3.7300717796641e-05,0.00021097608545244,177769.89368444,0.0020336460150775,0,0,-90669.208779499,89233.882543922,0.022280401176472,1.2790509557965e-05,0.018688055983708,652.40824275104,1433.5286619501,562.52033794203,743.83795629527,11,4,-0.00019818557589448,7620444.4520135,627.32264703655,90277.24896,90217.261107792,352,122
1661565.6735656,177769.89368444,711.84230211668,0.0010153562968877,1.4619053212841e+19,636.19939212579,10163.309941767,1.5374978394687e+24,-3.7294392229184e-05,0.00021095061654124,190681.08132565,0.0022847544092372,0,0,-90698.711695813,89231.95905071,0.021933306705107,1.2812232079061e-05,0.018688055983708,652.38704533962,1434.3083991844,562.52180522372,744.24294445792,13,4,-0.00019813838446218,7607745.6923082,627.33334371469,90277.24896,90229.226543585,365,126
1852246.7548913,190681.08132565,711.86049665536,0.0011350714013734,1.4621112380384e+19,636.23288581682,10165.641922613,1.7186211541698e+24,-3.7271244078616e-05,0.00021092491386041,204162.72560522,0.0025541372984401,0,0,-90728.828473216,89227.31906766,0.02159721141597,1.2831994711318e-05,0.018688055983708,652.36406808402,1434.9973872223,562.52338035466,744.67486740715,12,4,-0.00019809291914909,7596158.4797038,627.33396464154,90277.24896,90241.935786246,377,130
2056409.4804965,204162.72560522,711.84891106559,0.0012632692654209,1.462329460982e+19,636.2680627888,10167.860279944,1.9125434194366e+24,-3.72275527458e-05,0.00021089898174137,218295.65956331,0.002842608090452,0,0,-90759.44903209,89219.661863633,0.021275247575739,1.2849282536881e-05,0.018688055983708,652.33884330323,1435.5735816755,562.52506690705,745.12955782291,12,4,-0.00019804969920449,7585945.8795893,627.32207301544,90277.24896,90255.404570525,389,134
