time,_dt,ave_temp_interior,average_burnup,average_fission_rate,avg_clad_temp,avg_density,avg_fast_fluence,avg_gap,clad_inner_vol,creep_timestep,fis_gas_generated,fis_gas_percent,fis_gas_released,flux_from_clad,flux_from_fuel,fuel_elongation,gas_volume,initial_moles,max_clad_temp,max_fuel_temp,min_clad_temp,min_fuel_temp,num_lin_it,num_nonlin_it,pellet_volume,plenum_pressure,plenum_temp,rod_input_power,rod_total_power,tot_lin_it,tot_nonlin_it
-100,0,300,0,0,300,0,0,0,0,0,0,0,0,0,0,0,1.7723738083499e-05,0.018688055983708,300,300,300,300,0,0,0,2630000,300,0,0,0,0
0,100,558.38759970758,0,0,560.9725685349,10361.815882936,0,-7.159146604014e-05,0.00021097340713167,7419.0693621316,0,0,0,1475.1970625056,-1464.5923168496,0.0092316115299391,1.663285320778e-05,0.018688055983708,561.96241446808,555.9161224209,560.79710434419,550.39453031184,22,7,-0.00019434055392389,2802491.5856169,560.86060018277,0,0,22,7
200,200,562.4387368599,1.4735598039745e-10,3.431438783723e+16,562.11911437141,10358.80520588,2.2330286394534e+17,-7.2177175368669e-05,0.00021108265140598,28935.647023118,3.3158037919549e-10,0,0,-183.09349422565,181.79162014903,0.0095868503335434,1.6685614608374e-05,0.018688055983708,562.16848730618,563.62180499857,561.95100950978,562.45945988929,14,4,-0.00019439703679761,5222789.7284312,562.17392676479,212.16535333333,211.78941131087,36,11
600,400,563.60897179376,1.326203824012e-09,1.0294316356233e+17,562.50585940595,10357.938216914,2.0097257755081e+18,-7.2074410027086e-05,0.00021108419534411,35759.292622682,2.9842234137381e-09,0,0,-633.39677299176,628.98744994641,0.009689171728287,1.6670886894117e-05,0.018688055983708,562.66305400657,567.67306186599,561.95391246783,563.8235457435,8,4,-0.00019441330844999,5239644.3775329,562.67525212856,636.49606,635.36823424516,44,15
1400,800,565.81929307716,7.2204430549878e-09,2.4020071568775e+17,563.2495931529,10356.302554182,1.0941840333322e+19,-7.1873892285402e-05,0.00021108638857434,41582.3325418,1.6247438615486e-08,0,0,-1483.5072877495,1473.2087253612,0.0098822411055692,1.6642374377294e-05,0.018688055983708,563.61588313483,575.3696034483,561.95916420912,566.32462951887,9,4,-0.00019444401419704,5253301.7095789,563.63982172431,1485.1574733333,1482.5258842812,53,19
3000,1600,570.18809513113,3.315509593781e-08,5.1471582642066e+17,564.73427610951,10353.045862694,5.0243144387702e+19,-7.1475020039722e-05,0.00021109081205049,44668.410387544,7.460558610292e-08,0,0,-3182.828226378,3160.8913383678,0.010266769365762,1.6585631382618e-05,0.018688055983708,565.51612680945,590.80355323522,561.96966516488,571.27818739182,10,5,-0.00019450518066787,5280310.6943704,565.54789484997,3182.4803,3176.8412243608,63,24
6200,3200,578.73346722348,1.4160910369222e-07,1.0637461040643e+18,567.69443884583,10346.58245061,2.1459405225147e+20,-7.0683469688334e-05,0.00021109967739027,44864.940448591,3.1864875910128e-07,0,0,-6581.1811704244,6535.0823287502,0.011030383161806,1.647298495774e-05,0.018688055983708,569.29795365676,621.87208241036,561.99066663061,581.00459050245,12,6,-0.00019462669243253,5334416.3047715,569.28458976969,6577.1259533333,6565.4722512516,75,30
12600,6400,595.10524986825,5.8485599900865e-07,2.1618071260522e+18,573.57643996672,10333.83151271,8.8628906699907e+20,-6.9120093647438e-05,0.00021111728105876,43409.750911967,1.3160427788746e-06,0,0,-13374.809975684,13278.350154802,0.012538587276337,1.6250411807868e-05,0.018688055983708,576.78826685237,684.90583473957,562.03267250704,599.76877337607,12,6,-0.0001948668692509,5443207.2961589,576.45783590755,13366.41726,13342.737185522,87,36
25400,12800,622.98511199793,2.3767064821892e-06,4.3579329725027e+18,585.18426998657,10286.153752504,3.6016518925744e+21,-6.1463685386192e-05,0.00021115879026918,39384.906160981,5.3480641537255e-06,0,0,-26949.883236003,26744.709744872,0.015305623244898,1.5388494963574e-05,0.018688055983708,591.47971290596,808.09754262741,562.11669569155,632.32573690328,14,4,-0.00019577029530561,5820512.383677,589.19662390576,26944.999873333,26897.29052305,101,40
51000,25600,669.13979929834,9.5818531768072e-06,8.750215352878e+18,607.8217447974,10217.512935216,1.4520268728046e+22,-5.1102453682011e-05,0.0002112320333034,25915.681895053,2.1561082904079e-05,0,0,-54201.293808171,53584.554889115,0.020521023675088,1.414582262532e-05,0.018688055983708,618.30279472813,1066.6640873093,562.28479085591,687.16265550579,15,5,-0.00019708621067808,6471751.884014,609.51352699221,54102.1651,54006.586602098,116,45
76915.681895053,25915.681895053,703.90535304828,2.1794185988635e-05,1.3196749881343e+19,629.70208841153,10152.295495374,3.3026617071709e+22,-4.1059409325207e-05,0.00021130563463286,15513.043365429,4.9041270227901e-05,0,0,-81660.691717682,80619.95832566,0.025298078743262,1.2951976805063e-05,0.018688055983708,644.60055395445,1340.6132007536,562.45506643458,729.72354036147,22,6,-0.0001983536578278,7312015.5733529,624.10508062247,81594.214130691,81450.728535332,138,51
86400,9484.3181049473,713.46023538103,2.7500407598986e-05,1.482408089401e+19,636.73986619336,10129.583095375,4.1673673680936e+22,-3.7539376667077e-05,0.00021133494079893,14872.334559224,6.1881408240829e-05,0,0,-91694.957076529,90478.844606078,0.026910288044757,1.2535833281189e-05,0.018688055983708,653.61580566494,1443.2762379884,562.51742574582,742.5487392926,17,4,-0.00019879910751774,7735605.7523009,628.18069815842,91655.43264,91494.663423976,155,55
101272.33455922,14872.334559224,713.30831162543,3.6968033473096e-05,1.4824262106029e+19,636.74570697178,10129.845373101,5.6020525121349e+22,-3.7431737567915e-05,0.00021132436514875,20016.144769445,8.3185456905506e-05,0,0,-91706.479892135,90485.007418312,0.026828300103071,1.2530426083291e-05,0.018688055983708,653.6179810993,1442.7202982338,562.51756898316,742.49465948127,11,4,-0.00019879393906546,7789481.7874401,628.11041081953,91655.43264,91495.781869888,166,59
121288.47932867,20016.144769445,713.12829216386,4.9710356131238e-05,1.4824505739495e+19,636.75154752848,10130.275047389,7.532937986881e+22,-3.7304386564242e-05,0.00021130977923833,25875.440816601,0.00011185822720924,0,0,-91717.345842828,90489.045699889,0.026721278211176,1.252430044522e-05,0.018688055983708,653.61889951396,1442.0591306892,562.51772817449,742.42699410226,11,4,-0.00019878547879311,7792419.6307883,628.02750936358,91655.43264,91497.285582809,177,63
147163.92014527,25875.440816601,712.95791748175,6.6183029893757e-05,1.4824820254185e+19,636.75870665531,10130.876408356,1.0029038293876e+23,-3.7181551556942e-05,0.00021129367612913,32514.827401388,0.00014892503235558,0,0,-91729.768234769,90493.921641704,0.026590415969311,1.2520032494862e-05,0.018688055983708,653.61950624633,1441.4787527232,562.51793586415,742.37804699526,11,4,-0.00019877364363427,7794047.1496569,627.94828815919,91655.43264,91499.226776725,188,67
179678.74754666,32514.827401388,712.80503552032,8.6882926616847e-05,1.4825214765455e+19,636.76727385052,10131.670179902,1.3165597083541e+23,-3.7068358561736e-05,0.00021127624275616,39869.521005343,0.00019550393323383,0,0,-91743.702752855,90499.648344129,0.026434235743209,1.2518214658931e-05,0.018688055983708,653.61960474556,1441.0144439623,562.51819891866,742.35562258175,11,4,-0.00019875802809723,7794195.6579289,627.87616136458,91655.43264,91501.661711891,199,71
219548.268552,39869.521005343,712.67563551231,0.00011226578881013,1.4825697436332e+19,636.77734153855,10132.670241033,1.7011604781562e+23,-3.696868210401e-05,0.00021125764487203,47867.735076959,0.000252620441491,0,0,-91759.157931068,90506.195857028,0.026251849658096,1.2519282906939e-05,0.018688055983708,653.61916974983,1440.6931686035,562.51852370339,742.36639995313,12,4,-0.00019873836196509,7792635.4201172,627.81371307291,91655.43264,91504.640770748,211,75
267416.00362896,47867.735076959,712.57376000866,0.00014274179035328,1.482627536518e+19,636.78897772859,10133.883631526,2.162912236393e+23,-3.6885163517631e-05,0.000211238026846,56426.218086715,0.00032119753025784,0,0,-91776.093974732,90513.493431577,0.026042999335066,1.2523516698936e-05,0.018688055983708,653.61804262064,1440.5326164108,562.51891587487,742.41581991503,11,4,-0.00019871451014707,7789226.1944458,627.7626958769,91655.43264,91508.207764597,222,79
323842.22171568,56426.218086715,712.50180924846,0.00017866825323938,1.4826954425299e+19,636.80226818321,10135.31101473,2.7072174805069e+23,-3.681934298738e-05,0.00021121751705693,65459.239331784,0.00040203924536704,0,0,-91794.53217847,90521.4325558,0.025808054380077,1.2531053598874e-05,0.018688055983708,653.61615282169,1440.5426950859,562.51938038026,742.5081589455,11,4,-0.00019868646345806,7783908.718698,627.7241443092,91655.43264,91512.398943632,233,83
389301.46104746,65459.239331784,712.46032867762,0.00022034808057364,1.4827739221681e+19,636.81724530723,10136.946111826,3.3386511474628e+23,-3.6771618900829e-05,0.00021119622867396,74885.878751634,0.00049582717928745,0,0,-91814.414059628,90529.858523038,0.025548116021872,1.2541879000959e-05,0.018688055983708,653.61340052314,1440.7276023125,562.51992143722,742.64651930765,12,4,-0.000198654349673,7776712.5074164,627.69832848314,91655.43264,91517.242729992,245,87
464187.33979909,74885.878751634,712.44824500916,0.00026803282633863,1.4828633144309e+19,636.83391856739,10138.776339667,4.0610069869925e+23,-3.6741362126554e-05,0.00021117426124925,84636.503957419,0.00060312737870896,0,0,-91835.666689224,90538.574801825,0.025264963178094,1.2555840547339e-05,0.018688055983708,653.60970407241,1441.0838300337,562.52054246137,742.83291594699,12,4,-0.00019861842070191,7767745.6727362,627.68484178541,91655.43264,91522.760046755,257,91
548823.84375651,84636.503957419,712.46316491379,0.00032192988557641,1.4829638506713e+19,636.85240573877,10140.782967604,4.8774064241403e+23,-3.6726970710969e-05,0.00021115170378771,94659.991750913,0.00072440652388775,0,0,-91858.420884172,90547.34184188,0.02496104960482,1.2572654595904e-05,0.018688055983708,653.60500680048,1441.5891125552,562.52124640593,743.06839132551,10,4,-0.00019857904919181,7757190.7983066,627.6826732889,91655.43264,91528.965173092,267,95
643483.83550743,94659.991750913,712.50073863752,0.00038221428128025,1.4830756775479e+19,636.87236395141,10142.943035839,5.7904770850176e+23,-3.6726099420943e-05,0.00021112863028275,104923.95963582,0.00086005845150639,0,0,-91881.970695265,90555.895149429,0.024639281740939,1.2591939875439e-05,0.018688055983708,653.59914468624,1442.2195705406,562.52203505826,743.35337500881,12,4,-0.00019853669040731,7745283.456681,627.69019763232,91655.43264,91535.867160814,279,99
748407.79514325,104923.95963582,712.55685418662,0.00044904059935839,1.483198880362e+19,636.89410650654,10145.229776296,6.8025335515247e+23,-3.6735791154584e-05,0.00021110510869262,115417.96508519,0.0010104310107254,0,0,-91906.832354201,90563.941650554,0.024302977323337,1.2613235061928e-05,0.018688055983708,653.5921248901,1442.9536686026,562.52291068068,743.68750931381,12,4,-0.0001984918736307,7732299.6236987,627.70557397644,91655.43264,91543.471274751,291,103
863825.76022844,115417.96508519,712.62597997266,0.00052255696391176,1.4833335099694e+19,636.917503731,10147.614493719,7.9157889637033e+23,-3.6752674327192e-05,0.00021108119316849,126150.30605947,0.0011758575103485,0,0,-91932.711145732,90571.179198788,0.023955644805263,1.2636028221842e-05,0.018688055983708,653.58384309888,1443.7631219661,562.52387529735,744.06934338707,12,4,-0.00019844516494664,7718540.99705,627.72657047718,91655.43264,91551.780653725,303,107
